unit_id,unit_type,status,origin
BR301,OTHER,AVAILABLE,THREE POINTS FIRE - Station 301
EN301,EN,AVAILABLE,THREE POINTS FIRE - Station 301
PM301,PM,AVAILABLE,THREE POINTS FIRE - Station 301
BR302,OTHER,AVAILABLE,THREE POINTS FIRE - Station 302
EN302,EN,AVAILABLE,THREE POINTS FIRE - Station 302
PM302,PM,AVAILABLE,THREE POINTS FIRE - Station 302
TN302,TN,AVAILABLE,THREE POINTS FIRE - Station 302
BR303,OTHER,AVAILABLE,THREE POINTS FIRE - Station 303
EN303,EN,AVAILABLE,THREE POINTS FIRE - Station 303
FC300,FC,AVAILABLE,THREE POINTS FIRE - Station 303
BN001,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
EC001,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
EN001,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
EN002,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
FI001,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
HZ001,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
LD001,LD,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
PM001,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
UT001,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 1
EN003,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 3
PM003,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 3
EN004,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 4
LD004,LD,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 4
LQ004,LQ,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 4
PM004,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 4
SQ004,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 4
EN005,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 5
EN045,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 5
PM005,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 5
PM045,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 5
RE005,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 5
BR006,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 6
EN006,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 6
BN002,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
BT007,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
EC002,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
EN007,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
LD007,LD,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
PM007,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
RE007,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 7
EN008,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 8
PM008,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 8
RE008,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 8
BN003,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
EC003,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
EN009,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
LT009,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
PM009,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
PM049,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
RE009,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 9
BT010,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 10
EN010,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 10
LD010,LD,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 10
PM010,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 10
RE010,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 10
EN011,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 11
EN012,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 12
PM012,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 12
EN013,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 13
PM013,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 13
EN014,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 14
PM014,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 14
RE014,RE,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 14
EN015,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 15
PM015,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 15
EN016,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 16
LD016,LD,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 16
LT016,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 16
PM016,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 16
EN017,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 17
UTV017,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 17
EN018,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 18
EN019,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 19
PM019,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 19
EN020,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 20
EN021,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 21
AP022,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
BN004,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
EC004,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
EN022,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
PM022,PM,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
QT022,OTHER,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
TN022,TN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 22
EN023,EN,AVAILABLE,TUCSON FIRE DEPARTMENT - Station 23
PC390,OTHER,AVAILABLE,PCSD - Mt. Lemmon (Palisades)
PC41,OTHER,AVAILABLE,PCSD - Mt. Lemmon (Palisades)
